證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"2351","順德","1066055","139135768","132.50","132.50","129.00","130.00","-1.0000","900"
"2352","佳世達","9948030","383696503","38.50","39.00","38.20","38.40","0.1500","5689"
"2353","宏碁","12420872","523802449","42.60","42.70","41.85","41.85","-0.5000","7082"
"2354","鴻準","4778933","321866297","68.20","68.20","66.70","67.00","-0.7000","4344"
"2355","敬鵬","2410657","94576983","39.85","39.85","39.00","39.00","-0.7500","1845"
"2356","英業達","30372167","1392273763","46.20","46.60","45.15","45.50","0.0000","16406"
"2357","華碩","5108185","3087058588","602.00","613.00","596.00","596.00","0.0000","6439"
"2359","所羅門","9386450","1406083152","149.50","153.00","145.50","153.00","5.5000","7135"
"2360","致茂","3419782","1434957459","420.50","426.00","412.50","416.00","0.0000","3205"
"2362","藍天","5191731","307188913","59.40","60.70","58.10","58.80","-0.4000","3513"
"2363","矽統","47578129","3793304431","78.10","82.20","76.40","80.40","3.1000","28878"
"2364","倫飛","846927","80368751","98.00","98.00","94.00","94.00","-2.4000","1099"
"2365","昆盈","13677069","679468635","50.70","51.20","48.40","49.35","-1.0500","8465"
"2367","燿華","20702796","645249096","32.45","32.45","30.60","30.60","-1.8500","11412"
"2368","金像電","3906445","752522993","196.00","196.50","189.00","191.50","-1.5000","3256"
"2369","菱生","659438","12068302","18.60","18.65","18.15","18.15","-0.3000","527"
"2371","大同","5015944","229058701","46.30","46.35","45.35","45.40","-0.7500","3598"
"2373","震旦行","36757","2499477","67.40","68.30","67.40","68.20","0.8000","58"
"2374","佳能","30735185","1540455283","50.40","52.20","48.35","48.65","-1.9500","16689"
"2375","凱美","175848","11894825","68.50","68.50","67.30","67.30","-0.6000","215"
"2376","技嘉","8592258","2329327582","274.50","277.00","266.50","267.50","-3.0000","19648"
"2377","微星","3232400","580755231","179.00","181.50","178.00","179.00","1.5000","3183"
"2379","瑞昱","3346055","1567787183","473.00","478.00","464.00","465.00","-2.0000","3460"
"2380","虹光","585257","3726972","6.31","6.55","6.19","6.55","0.2500","645"
"2382","廣達","57479547","17829337666","310.50","316.00","302.50","307.00","6.5000","70432"
"2383","台光電","7115043","3017825056","434.50","434.50","419.50","420.00","-11.5000","8251"
"2385","群光","1246722","205713611","167.50","167.50","164.00","164.50","-1.0000","1518"
"2387","精元","510419","28996705","57.50","57.50","56.30","56.40","-0.6000","537"
"2388","威盛","9972058","1248042280","128.00","128.00","123.50","123.50","-2.5000","6422"
"2390","云辰","382228","5050777","13.40","13.40","13.10","13.20","0.0000","311"
"2392","正崴","2046307","125551603","62.30","62.30","60.70","60.70","-0.9000","1611"
"2393","億光","1568894","121940336","77.60","78.10","76.70","78.00","0.9000","1306"
"2395","研華","689596","224897145","329.00","331.00","323.50","324.50","-0.5000","899"
"2397","友通","659003","53513703","82.60","82.60","80.00","80.30","-1.7000","842"
"2399","映泰","55711879","2335860528","42.10","43.15","41.00","41.05","-0.7500","26722"
"2401","凌陽","2705935","81791196","30.90","30.95","29.85","30.00","-0.5000","1651"
"2402","毅嘉","29161347","1306347906","46.30","46.45","43.80","43.85","-2.2500","20358"
"2404","漢唐","494830","167402463","336.00","340.00","336.00","338.00","3.5000","793"
"2405","輔信","2098904","40702113","19.80","19.85","19.20","19.20","-0.4500","1294"
"2406","國碩","1034514","19501537","19.00","19.10","18.70","18.90","0.0000","709"
"2408","南亞科","9185302","407134471","44.50","44.85","43.85","43.85","-0.4500","5045"
"2409","友達","30405309","523973494","17.10","17.40","17.00","17.15","0.1000","7794"
"2412","中華電","8827539","1088825297","123.00","124.00","122.50","124.00","1.5000","3929"
"2413","環科","133140","2853822","21.65","21.65","21.30","21.30","0.0000","83"
"2414","精技","66744","2378823","35.80","35.85","35.55","35.60","0.0500","62"
"2415","錩新","303052","7822808","26.55","26.55","25.40","25.40","-0.4500","238"
"2417","圓剛","1062619","45468607","43.70","43.75","42.10","42.10","-1.3000","912"
"2419","仲琦","1951507","64734181","33.50","33.50","32.70","33.10","-0.0500","1474"
"2420","新巨","771809","53802746","70.20","70.40","69.20","69.30","-0.5000","600"
"2421","建準","20681894","2289788337","111.00","114.00","108.00","108.50","0.0000","13944"
"2423","固緯","215628","8538446","39.30","39.90","39.30","39.30","0.1000","267"
"2424","隴華","112271","9219083","80.60","84.80","80.50","80.50","0.4000","141"
"2425","承啟","2219732","97585661","45.40","45.40","43.20","43.20","-1.3000","1548"
"2426","鼎元","6277874","157402870","25.35","25.70","24.75","24.80","-0.4000","3510"
"2427","三商電","626763","16937896","27.40","27.40","26.80","26.85","-0.3500","481"
"2428","興勤","185202","32148677","176.00","176.00","172.00","172.00","-3.0000","215"
"2429","銘旺科","440496","11431400","26.65","26.85","25.40","25.40","-1.1000","338"
"2430","燦坤","21858","728409","33.35","33.40","33.25","33.25","0.0000","54"
"2431","聯昌","888821","12512124","14.05","14.30","13.85","13.90","-0.1500","424"
"2432","倚天酷碁-創","7015","247131","35.00","35.45","35.00","35.40","0.3000","8"
"2433","互盛電","26482","1342971","50.80","50.90","50.50","50.60","0.0000","39"
"2434","統懋","18738","603176","32.20","32.25","32.00","32.00","0.0000","14"
"2436","偉詮電","2069788","122366849","60.30","60.40","58.40","58.80","-1.3000","1749"
"2438","翔耀","987356","46328828","46.15","48.40","45.50","47.70","1.5000","645"
"2439","美律","3176357","352736300","112.50","113.00","110.00","111.00","-1.0000","2356"
"2440","太空梭","209543","2908410","14.00","14.10","13.75","13.80","-0.3000","172"
"2441","超豐","448867","26194268","58.40","58.80","58.10","58.20","-0.1000","475"
"2442","新美齊","1356052","31913199","23.75","23.90","23.35","23.40","-0.4000","883"
"2444","兆勁","343393","4812577","13.80","14.35","13.70","13.90","0.1500","200"
"2449","京元電子","52015123","6709674606","136.00","136.50","125.00","127.50","-7.0000","36027"
"2450","神腦","113035","3979119","35.40","35.50","35.00","35.00","-0.3000","112"
"2451","創見","1209485","123071854","103.50","103.50","101.00","101.00","-2.0000","928"
"2453","凌群","495242","27418850","56.00","56.00","54.70","55.70","-0.1000","870"
"2454","聯發科","8916104","11696603095","1300.00","1330.00","1295.00","1305.00","30.0000","16167"
"2455","全新","4072708","664927907","165.00","166.00","161.00","163.00","-2.5000","3829"
"2457","飛宏","1110397","42413783","38.95","39.20","37.70","38.00","-0.7500","1204"
"2458","義隆","1066977","155869769","146.50","147.00","145.00","146.00","0.5000","1011"
"2459","敦吉","21413","1509828","70.50","70.90","70.30","70.50","0.1000","94"
"2460","建通","180740","5126482","28.85","28.85","28.20","28.65","-0.0500","148"
"2461","光群雷","274096","6011840","22.15","22.15","21.85","21.90","-0.2000","191"
"2462","良得電","225362","6973925","31.00","31.25","30.70","30.90","-0.1000","149"
"2464","盟立","15450155","1264030016","83.80","84.20","79.80","81.60","-0.6000","19730"
"2465","麗臺","257844","22366271","87.00","87.80","86.00","86.20","-0.8000","352"
"2466","冠西電","12477","445715","35.00","36.15","35.00","36.05","0.9000","17"
"2467","志聖","5978040","1343779317","235.00","237.50","217.00","222.50","-9.0000","8151"
"2468","華經","115683","2756418","24.05","24.15","23.60","23.70","-0.2000","103"
"2471","資通","81740","4040365","49.55","49.80","49.00","49.10","-0.4000","301"
"2472","立隆電","726521","55064309","76.30","76.30","75.40","75.40","-0.9000","564"
"2474","可成","1887973","461471975","242.00","246.50","241.00","244.50","4.0000","2015"
"2476","鉅祥","1020323","93601651","91.90","92.90","90.90","90.90","-0.6000","875"
"2477","美隆電","639311","18106370","28.70","28.75","28.05","28.20","-0.5000","532"
"2478","大毅","131825","6539112","50.10","50.10","49.30","49.45","-0.3500","199"
"2480","敦陽科","153714","19901136","131.00","131.00","129.00","129.00","-0.5000","316"
"2481","強茂","1317450","75065539","58.00","58.00","56.40","56.50","-1.0000","1314"
"2482","連宇","469070","14720393","32.25","32.25","30.85","31.30","-0.6000","432"
"2483","百容","63000","1474850","23.30","23.50","23.15","23.40","0.1000","40"
"2484","希華","137655","3951957","29.00","29.00","28.55","28.60","-0.2500","175"
"2485","兆赫","516590","9353553","18.20","18.35","17.95","18.00","-0.2000","371"
"2486","一詮","16264787","2002787764","124.50","125.00","121.00","123.00","0.0000","11611"
"2488","漢平","246062","11484161","46.90","46.95","46.50","46.55","-0.3500","248"
"2489","瑞軒","7005134","152055338","22.00","22.15","21.40","21.40","0.0000","5443"
"2491","吉祥全","65300","924754","14.25","14.30","14.05","14.20","0.0500","57"
"2492","華新科","780360","82675877","107.00","107.50","105.00","105.00","-1.0000","665"
"2493","揚博","1498326","160467957","110.00","111.50","105.50","105.50","-4.0000","1386"
"2495","普安","14293978","478073921","32.90","34.80","32.50","33.50","0.7000","8135"
"2496","卓越","28688","2128971","74.30","74.70","74.10","74.70","0.4000","26"
"2497","怡利電","1869160","139141177","75.40","75.40","73.80","74.00","-0.5000","1604"
"2498","宏達電","11250037","549547389","49.00","49.80","48.15","48.40","-0.2500","5992"
"2501","國建","1345532","34336009","25.55","25.70","25.20","25.50","0.0500","1153"
"2504","國產","3398057","182455072","53.20","54.40","53.20","53.30","0.1000","2837"
"2505","國揚","150399","3368511","22.55","22.60","22.20","22.45","-0.0500","185"
"2506","太設","270759","2903934","10.70","10.85","10.65","10.65","-0.0500","155"
"2509","全坤建","194612","3698607","19.15","19.20","18.90","19.00","-0.1500","173"
"2511","太子","806415","8628978","10.65","10.75","10.60","10.70","0.0000","350"
"2514","龍邦","558839","12501848","22.70","22.70","22.25","22.40","-0.2000","292"
"2515","中工","6937896","77652159","11.35","11.35","11.15","11.20","-0.0500","2505"
"2516","新建","886006","10615417","11.80","12.15","11.70","12.15","0.3500","287"
"2520","冠德","2355160","111044361","47.75","47.75","46.85","46.85","-0.3000","1596"
"2524","京城","926889","77288093","85.00","85.00","82.10","82.70","-2.2000","957"
"2527","宏璟","815827","28222531","35.95","35.95","34.10","34.15","-1.8500","694"
"2528","皇普","364375","14273877","39.85","39.85","38.90","39.20","-0.4500","245"
"2530","華建","912870","36302577","40.40","40.55","39.10","39.40","-0.8500","749"
"2534","宏盛","564301","15078973","26.55","27.00","26.55","26.65","0.1000","345"
"2535","達欣工","182692","9113535","49.75","50.10","49.65","49.70","0.0500","278"
"2536","宏普","198232","5961633","30.15","30.35","30.00","30.05","-0.0500","141"
"2537","聯上發","1604321","25543729","16.30","16.30","15.70","15.75","-0.4500","975"
"2538","基泰","240737","4030173","16.80","16.85","16.65","16.70","-0.1000","169"
"2539","櫻花建","594903","29468029","49.70","49.90","49.25","49.70","0.4000","572"
"2540","愛山林","2270079","223868475","99.00","100.50","97.30","98.10","-2.4000","2334"
"2542","興富發","4318279","185809516","43.60","43.70","42.80","43.05","-0.5500","3390"
"2543","皇昌","7984648","738329554","92.10","93.90","91.00","93.00","1.7000","6381"
"2545","皇翔","552135","33157411","61.10","61.10","59.70","60.00","-0.7000","503"
"2546","根基","71489","5267012","74.50","74.50","73.10","73.10","-0.8000","196"
"2547","日勝生","710796","7104035","10.00","10.05","9.96","9.99","-0.0100","312"
"2548","華固","1619848","204914818","128.50","129.50","125.00","126.50","-2.0000","1450"
"2597","潤弘","247853","34593357","140.00","140.50","138.00","140.50","0.5000","393"
"2601","益航","6544001","51380993","8.01","8.01","7.73","7.89","-0.0600","2233"
"2603","長榮","9859248","1936645904","196.50","198.00","195.00","196.50","0.0000","7641"
"2605","新興","4536110","122238867","27.10","27.20","26.70","26.85","-0.2000","2460"
"2606","裕民","3092604","167042472","54.50","54.50","53.40","54.30","-0.3000","2001"
"2607","榮運","801167","24546920","30.55","30.80","30.40","30.65","0.2500","476"
"2608","嘉里大榮","99097","3919480","39.30","39.75","39.30","39.40","0.0500","128"
"2609","陽明","32258893","2125194241","66.50","66.50","65.30","65.90","0.4000","19185"
"2610","華航","22992327","500336579","21.75","21.95","21.60","21.70","0.1500","7610"
"2611","志信","307508","7131008","23.25","23.30","23.10","23.15","-0.1000","268"
"2612","中航","234309","10233273","44.20","44.20","43.30","43.85","-0.2500","309"
"2613","中櫃","1605429","49030283","31.20","31.20","30.20","30.50","-0.6000","1094"
"2614","東森","292550","5349341","18.45","18.45","18.20","18.20","-0.1000","404"
"2615","萬海","24677473","2116666587","86.50","87.40","85.00","85.30","-1.1000","17264"
"2616","山隆","46952","973783","20.60","20.90","20.60","20.75","0.1000","144"
"2617","台航","647456","20566140","32.00","32.00","31.65","31.65","-0.2500","484"
"2618","長榮航","44684607","1673028496","37.25","37.65","37.20","37.30","0.3000","15390"
"2630","亞航","309944","10201497","33.20","33.20","32.80","32.80","-0.2000","237"
"2633","台灣高鐵","3221025","94329912","29.25","29.35","29.10","29.35","0.3000","1735"
"2634","漢翔","2787587","128150963","46.10","46.40","45.60","45.70","-0.3000","2253"
"2636","台驊控股","256824","22358930","87.50","87.70","86.50","86.60","-0.9000","431"
"2637","慧洋-KY","4155202","297028681","72.20","72.40","70.50","71.90","-0.3000","2734"
"2642","宅配通","48225","1647147","34.25","34.30","34.00","34.00","-0.2000","197"
"2645","長榮航太","1466776","140360570","97.00","97.00","95.00","95.50","-1.5000","1454"
"2701","萬企","79982","1004249","12.60","12.60","12.50","12.55","0.0000","61"
"2702","華園","56474","998402","17.70","17.80","17.60","17.60","-0.0500","107"
"2704","國賓","144471","8930366","61.10","62.70","61.10","61.20","-0.1000","194"
"2705","六福","88418","1527332","17.30","17.35","17.20","17.30","0.0000","193"
"2706","第一店","72197","1075038","14.90","15.00","14.80","14.85","0.0000","100"
"2707","晶華","112187","22758998","203.00","203.50","202.00","203.00","0.0000","184"
"2712","遠雄來","12431","324185","26.20","26.20","25.65","26.00","0.0500","47"
"2722","夏都","99039","4105798","41.40","42.40","40.80","40.90","-0.9500","114"
"2723","美食-KY","407278","35978577","88.30","89.30","87.90","88.30","-0.7000","385"
"2727","王品","339687","80151700","237.00","237.00","235.00","236.50","0.0000","1207"
"2731","雄獅","722227","97722521","134.50","136.50","133.50","134.50","0.0000","864"
"2739","寒舍","357110","20635260","57.80","58.30","57.10","57.60","0.4000","289"
"2748","雲品","324348","19988731","61.50","62.50","60.60","61.30","-0.8000","524"
"2753","八方雲集","312559","50010779","163.00","163.00","158.50","158.50","-4.5000","540"
"2762","世界健身-KY","114196","10719872","94.30","94.50","93.20","93.40","-0.4000","127"
"2801","彰銀","15493651","276143027","17.80","17.90","17.70","17.90","0.1500","4714"
"2809","京城銀","1678595","91603981","54.60","55.40","54.00","54.30","0.1000","1254"
"2812","台中銀","4441236","81021894","18.15","18.30","18.10","18.25","0.1500","2082"
"2816","旺旺保","165498","5527066","33.60","33.60","33.20","33.25","0.0000","140"
"2820","華票","741954","11100262","14.95","15.00","14.90","14.95","0.0000","325"
"2832","台產","313887","8935575","28.40","28.60","28.35","28.40","0.0500","253"
"2834","臺企銀","20039966","318267006","15.80","15.95","15.75","15.90","0.1500","6191"
"2836","高雄銀","1660362","19748997","11.85","11.95","11.80","11.85","0.0000","649"
"2836A","高雄銀甲特","132","2772","","","","","0.0000","3"
"2838","聯邦銀","2218318","34364183","15.35","15.55","15.35","15.50","0.1500","861"
"2838A","聯邦銀甲特","118274","6199889","52.40","52.60","52.40","52.60","0.1000","32"
"2845","遠東銀","9795393","130801007","13.30","13.45","13.25","13.30","0.0000","2871"
"2849","安泰銀","217840","3281169","14.80","15.20","14.80","15.15","0.4000","172"
"2850","新產","303867","30704103","100.50","101.50","99.90","101.50","0.5000","364"
"2851","中再保","3507339","95284883","26.70","27.35","26.65","27.20","0.4500","1531"
"2852","第一保","374887","8540810","22.65","22.90","22.65","22.85","0.2000","222"
"2855","統一證","3329088","88724726","26.50","26.80","26.50","26.65","0.3000","1082"
"2867","三商壽","47866300","340995688","7.27","7.28","7.03","7.11","-0.3100","9713"
"2880","華南金","14545988","377570009","25.80","26.05","25.70","26.00","0.3500","4633"
"2881","富邦金","39194821","3643426026","92.20","93.40","91.80","93.20","1.6000","19684"
"2881A","富邦特","65851","4098478","62.20","62.30","62.20","62.30","0.0000","38"
"2881B","富邦金乙特","35035","2101763","59.90","60.10","59.90","60.00","-0.1000","28"
"2881C","富邦金丙特","49447","2604344","52.70","52.80","52.60","52.70","0.1000","101"
"2882","國泰金","42902080","2984565489","68.80","69.90","68.50","69.80","1.2000","16264"
"2882A","國泰特","23642","1446968","61.20","61.30","61.20","61.30","0.0000","26"
"2882B","國泰金乙特","171606","10119831","59.00","59.20","58.90","59.10","-0.1000","177"
"2883","凱基金","64360684","1141254864","17.75","17.85","17.55","17.75","0.1500","11902"
"2883B","凱基金乙特","2255058","17015270","7.54","7.55","7.53","7.55","0.0100","350"
"2884","玉山金","32775423","940951803","28.40","28.85","28.30","28.80","0.5500","11507"
"2885","元大金","28618335","952057387","32.75","33.50","32.65","33.50","0.8500","12067"
"2886","兆豐金","19084482","756754790","39.60","39.80","39.45","39.80","0.3500","8176"
"2887","台新金","49159239","861143144","17.60","17.65","17.45","17.55","0.1000","7915"
"2887E","台新戊特","72043","3686209","51.20","51.20","51.10","51.20","0.0000","35"
"2887F","台新戊特二","16181","743603","46.00","46.00","45.90","45.95","-0.0500","26"
"2887Z1","台新己特","183924","2952271","16.05","16.10","16.05","16.10","0.0500","43"
"2888","新光金","85163441","984769145","11.55","11.60","11.50","11.60","0.0000","8117"
"2888A","新光金甲特","300076","10741762","36.00","36.00","35.65","35.70","-0.3000","79"
"2888B","新光金乙特","201641","7213742","35.90","35.90","35.55","35.65","-0.3000","103"
"2889","國票金","5006543","78071116","15.70","15.70","15.50","15.55","-0.1000","2133"
"2890","永豐金","24449514","584285687","23.65","24.10","23.60","24.00","0.4500","8671"
"2891","中信金","74548261","2760483066","36.55","37.30","36.50","36.90","0.4000","25016"
"2891B","中信金乙特","23120","1402123","60.70","60.70","60.60","60.60","-0.1000","25"
"2891C","中信金丙特","120","6773","","","","","0.0000","7"
"2892","第一金","25197651","691988924","27.25","27.60","27.20","27.60","0.4500","7689"
"2897","王道銀行","4170062","41694118","9.98","10.05","9.96","9.99","0.0100","657"
"2897B","王道銀乙特","125235","1447825","11.55","11.60","11.55","11.60","0.0500","48"
"2901","欣欣","8359","229048","27.55","27.55","27.25","27.40","0.0500","45"
"2903","遠百","883920","23956822","27.25","27.30","27.00","27.05","-0.1000","622"
"2904","匯僑","49237","904152","18.35","18.40","18.30","18.35","0.0500","47"
"2905","三商","1922668","32440368","16.95","17.00","16.75","16.80","-0.5500","1384"
"2906","高林","199424","3650216","18.20","18.50","18.20","18.25","-0.0500","128"
"2908","特力","532604","10867887","20.35","20.60","20.25","20.35","0.1000","151"
"2910","統領","84526","2156951","26.00","26.00","25.25","25.25","-0.1500","48"
"2911","麗嬰房","151584","1500508","10.15","10.15","9.79","9.91","-0.0400","234"
"2912","統一超","941615","279156066","297.50","297.50","294.50","297.00","0.5000","2196"
"2913","農林","1244939","26161257","21.20","21.20","20.85","20.90","-0.3000","685"
"2915","潤泰全","3321990","251781293","75.70","76.80","75.10","75.50","-0.2000","3482"
"2923","鼎固-KY","296743","9639756","30.30","33.25","30.25","33.20","2.7500","313"
"2929","淘帝-KY","684938","8729291","12.85","12.85","12.50","12.85","0.3000","439"
"2939","永邑-KY","278008","9648123","34.00","35.00","34.00","34.75","0.7500","139"
"2945","三商家購","19234","787277","40.80","41.20","40.50","41.20","0.4000","28"
"3002","歐格","39300","594025","15.15","15.25","15.05","15.05","-0.1500","28"
"3003","健和興","688890","55620683","80.80","81.70","79.90","80.70","0.5000","468"
"3004","豐達科","75796","7025465","93.70","93.90","92.00","92.00","-1.3000","82"
"3005","神基","2767452","304754332","110.50","111.50","109.50","110.00","-1.5000","2111"
"3006","晶豪科","1974908","137941088","71.50","71.50","69.10","69.40","-1.5000","2248"
"3008","大立光","3305875","7731966859","2395.00","2400.00","2305.00","2325.00","-220.0000","21404"
"3010","華立","850229","106693620","126.00","127.00","124.00","124.00","-0.5000","843"
"3011","今皓","21642291","661053336","30.00","31.80","29.35","31.15","1.5500","8947"
"3013","晟銘電","70360620","11092843398","156.50","161.50","152.50","159.00","5.5000","46994"
"3014","聯陽","601005","83933213","141.00","142.50","138.50","138.50","-1.5000","637"
"3015","全漢","177852","10574903","60.20","60.20","58.90","59.10","-0.6000","311"
"3016","嘉晶","242755","14193789","58.90","59.30","58.00","58.20","-0.4000","234"
"3017","奇鋐","12884187","8851424285","691.00","699.00","676.00","681.00","2.0000","14918"
"3018","隆銘綠能","31810","941775","29.70","29.85","29.50","29.85","-0.0500","28"
"3019","亞光","3802248","391674380","104.50","104.50","102.00","102.50","-1.0000","2913"
"3021","鴻名","232661","6523492","27.80","28.20","27.80","28.15","0.3500","159"
"3022","威強電","583416","45318310","77.50","78.30","76.90","77.00","-0.5000","714"
"3023","信邦","739934","218022624","297.00","299.00","290.50","291.50","-4.0000","892"
"3024","憶聲","1058343","19019686","17.95","18.20","17.65","17.85","0.0500","495"
"3025","星通","18752478","1530008298","80.00","85.00","79.40","79.40","1.4000","12897"
"3026","禾伸堂","88912","8106446","91.20","91.60","90.80","91.00","-0.2000","149"
"3027","盛達","440781","15427779","35.50","35.70","34.60","34.75","-0.7000","401"
"3028","增你強","409931","13189083","32.65","32.65","32.00","32.05","-0.6500","595"
"3029","零壹","2311982","237820956","105.00","105.00","101.50","102.50","-1.5000","4112"
"3030","德律","4296172","605045244","150.00","151.50","137.00","139.00","-8.5000","4138"
"3031","佰鴻","18819741","465477179","25.90","26.20","23.65","23.95","-1.6500","8442"
"3032","偉訓","447450","29513524","66.20","66.40","65.60","65.80","-0.4000","304"
"3033","威健","4876354","175809830","36.20","36.40","35.60","35.60","-0.3000","2650"
"3034","聯詠","2712086","1418791548","525.00","528.00","520.00","523.00","0.0000","3301"
"3035","智原","3122991","824847957","271.00","271.50","260.00","260.00","-7.5000","4138"
"3036","文曄","3912140","441523501","114.50","114.50","111.50","112.50","-0.5000","3083"
"3036A","文曄甲特","65243","3156436","48.40","48.45","48.35","48.45","0.0500","45"
"3037","欣興","16944153","2479524876","149.50","150.00","143.50","144.50","-2.5000","11832"
"3038","全台","296850","7489122","25.45","25.50","25.05","25.10","-0.2500","259"
"3040","遠見","317527","14650473","46.45","46.60","45.85","45.95","-0.5000","242"
"3041","揚智","1481195","30753072","21.50","21.50","20.50","20.50","-0.7000","1249"
"3042","晶技","2419511","273008566","113.50","115.00","111.50","112.00","-0.5000","1821"
"3043","科風","98873","3055825","31.15","31.40","30.55","30.70","-0.2500","115"
"3044","健鼎","1326618","255847260","194.50","194.50","191.50","192.00","-1.0000","1272"
"3045","台灣大","3993942","456891875","114.00","115.00","114.00","114.50","0.5000","1709"
"3046","建碁","197641","11154170","57.30","57.30","56.00","56.20","-1.1000","229"
"3047","訊舟","7699728","277458364","36.35","37.15","35.25","35.25","-0.6500","4738"
"3048","益登","1644438","65406421","40.50","40.65","39.40","39.45","-0.7000","1448"
"3049","精金","14890560","175230791","11.85","12.10","11.60","11.60","-0.1000","4317"
"3050","鈺德","581377","11341285","19.95","19.95","19.25","19.30","-0.4500","425"
"3051","力特","1548729","48388377","31.55","32.50","30.70","30.70","0.3500","1052"
"3052","夆典","329087","3979551","12.10","12.15","12.05","12.05","0.0000","190"
"3054","立萬利","33295","739493","22.60","22.70","22.00","22.55","-0.2500","27"
"3055","蔚華科","295366","19382278","66.50","66.80","65.10","65.30","-0.7000","276"
"3056","富華新","890086","28521794","32.20","32.55","31.85","31.85","-0.2500","858"
"3057","喬鼎","243315","3048759","12.50","12.60","12.40","12.55","0.2000","202"
"3058","立德","578837","10153562","17.90","17.90","17.40","17.40","-0.2500","321"
"3059","華晶科","615753","21282941","35.00","35.05","34.30","34.30","-0.5000","762"
"3060","銘異","2245960","63243890","28.65","28.70","27.90","27.90","-0.7500","1642"
"3062","建漢","30765280","1097688386","37.15","37.25","34.90","35.05","-1.9000","16515"
"3090","日電貿","300835","18670140","62.50","62.60","61.60","61.60","-0.7000","306"
"3092","鴻碩","132548","4026361","30.40","30.95","30.15","30.35","0.0500","161"
"3094","聯傑","313575","9962601","32.50","32.50","31.50","31.50","-0.7000","252"
"3130","一零四","17351","3899335","225.50","225.50","224.00","224.00","-1.5000","1047"
"3138","耀登","95778","11096209","117.50","117.50","115.00","115.00","-2.5000","145"
"3149","正達","29884681","1318531869","46.60","46.70","42.10","43.15","-2.8500","17850"
"3150","鈺寶-創","19000","710700","37.25","37.60","37.10","37.60","0.5000","14"
"3164","景岳","39582","883084","22.50","22.50","22.15","22.30","0.0000","185"
"3167","大量","14983571","2183868367","149.00","155.00","139.00","141.50","-5.5000","11014"
"3168","眾福科","13000","707100","54.90","54.90","53.80","54.40","0.2000","13"
"3189","景碩","6168738","651657489","107.00","107.50","104.50","105.00","-0.5000","4468"
"3209","全科","22168416","941252957","41.50","44.00","40.85","41.20","0.4000","13922"
"3229","晟鈦","118026","2452791","20.80","21.40","20.40","20.40","-0.4000","95"
"3231","緯創","38007366","4221891899","112.50","113.00","109.00","109.00","-1.5000","20357"
"3257","虹冠電","1622561","109413350","67.90","68.20","66.00","67.80","0.8000","1175"
"3266","昇陽","69052","1340868","19.55","19.60","19.30","19.30","-0.0500","60"
"3296","勝德","646215","17324121","27.30","27.40","26.55","26.80","-0.4500","458"
"3305","昇貿","608177","42982905","71.80","71.80","70.10","70.30","-0.8000","670"
"3308","聯德","33888","796009","23.60","23.60","23.40","23.40","-0.0500","214"
"3311","閎暉","42187","1601996","38.10","38.10","37.85","38.05","-0.0500","58"
"3312","弘憶股","16776444","1250406153","74.30","76.20","72.30","74.10","2.0000","12456"
"3321","同泰","246058","4443675","18.60","18.60","17.95","17.95","-0.3000","276"
"3338","泰碩","629866","43565333","69.90","70.40","68.20","68.20","-1.0000","833"
"3346","麗清","355661","13723401","39.00","39.40","38.20","38.30","-0.4000","268"
"3356","奇偶","2516649","163301615","64.50","66.30","63.60","64.20","1.2000","2861"
"3376","新日興","3456293","632830549","184.50","185.50","180.00","185.50","2.0000","3721"
"3380","明泰","4661511","169440590","36.30","37.00","35.80","36.25","-0.2500","3238"
"3406","玉晶光","2909115","1353521983","472.00","472.00","461.00","462.00","-13.5000","5080"
"3413","京鼎","1394773","484705209","352.50","354.00","343.00","344.00","-2.0000","1837"
"3416","融程電","66530","9191734","138.00","139.50","137.00","137.00","-1.0000","94"
"3419","譁裕","386331","6779705","18.00","18.00","17.40","17.40","-0.3000","214"
"3432","台端","62540","1266661","20.00","20.40","20.00","20.30","-0.1000","44"
"3437","榮創","1875126","51578794","27.85","28.05","27.10","27.20","-0.8000","1283"
"3443","創意","1470440","1795579070","1240.00","1245.00","1200.00","1200.00","-15.0000","3853"
"3447","展達","903365","45199809","51.10","51.40","48.50","49.95","-0.9500","836"
"3450","聯鈞","43981639","10599246958","247.50","251.50","232.00","232.00","-15.0000","34627"
"3454","晶睿","91719","11241710","122.00","124.00","121.50","122.00","-0.5000","218"
"3481","群創","168628040","2778583630","16.15","16.85","15.95","16.30","0.2000","34372"
"3494","誠研","265364","2194408","8.39","8.39","8.20","8.30","0.0600","96"
"3501","維熹","152063","9623065","63.50","63.70","63.00","63.00","-0.4000","174"
"3504","揚明光","126954","7115904","56.60","56.70","55.60","55.70","-0.9000","170"
"3515","華擎","281596","57620828","205.00","207.00","203.50","203.50","1.0000","370"
"3518","柏騰","898375","28314082","32.30","32.30","30.95","30.95","-0.7500","658"
"3528","安馳","88166","4597481","51.70","52.40","51.70","52.20","0.3000","83"
"3530","晶相光","245922","23936730","99.40","99.50","96.50","96.50","-2.3000","256"
"3532","台勝科","698355","92274295","135.50","135.50","130.50","130.50","-3.0000","801"
"3533","嘉澤","1074407","1774183970","1670.00","1685.00","1625.00","1650.00","10.0000","3281"
"3535","晶彩科","2544743","136637770","54.00","54.90","52.70","53.00","-1.0000","2345"
