證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"1316","上曜","1737868","27019949","15.80","15.80","15.40","15.50","-0.2500","936"
"1319","東陽","3137126","328431629","106.00","107.50","103.50","104.00","-1.0000","2141"
"1321","大洋","623878","21997807","35.55","35.65","35.00","35.20","-0.4500","319"
"1323","永裕","16573","411327","24.80","24.90","24.65","24.85","0.0500","28"
"1324","地球","70783","926145","13.15","13.30","13.00","13.15","0.0000","77"
"1325","恆大","143631","3991658","28.10","28.10","27.60","27.80","-0.1500","260"
"1326","台化","5305713","213101557","40.10","40.50","39.90","40.10","-0.2000","3137"
"1337","再生-KY","430637","3084603","7.28","7.28","7.11","7.16","-0.0900","309"
"1338","廣華-KY","58782","1921845","32.70","32.95","32.45","32.70","0.0500","61"
"1339","昭輝","92881","5556784","60.50","60.60","59.50","59.50","-1.0000","90"
"1340","勝悅-KY","69613","712047","10.25","10.25","10.15","10.25","0.0000","110"
"1341","富林-KY","14076","963394","68.10","68.50","68.10","68.50","0.0000","14"
"1342","八貫","341092","33769629","101.00","101.00","98.30","98.30","-3.2000","506"
"1402","遠東新","6781418","250512120","37.15","37.25","36.65","37.10","0.0500","3536"
"1409","新纖","1427424","22485941","15.75","15.85","15.65","15.70","-0.0500","611"
"1410","南染","30537","1118892","36.65","36.90","36.60","36.75","0.1500","24"
"1413","宏洲","19152","186657","9.80","9.80","9.70","9.79","0.0000","28"
"1414","東和","631167","14013220","22.70","22.70","22.00","22.45","0.0000","343"
"1416","廣豐","629405","8513628","13.60","13.70","13.35","13.40","-0.1000","277"
"1417","嘉裕","118427","1215142","10.35","10.35","10.20","10.20","-0.1000","229"
"1418","東華","15169","507310","32.60","32.60","32.00","32.30","-0.3000","283"
"1419","新紡","51680","2476463","47.55","48.30","47.55","47.90","0.6000","58"
"1423","利華","35896","1432015","40.50","40.50","39.80","39.95","0.1000","33"
"1432","大魯閣","275013","5130408","18.65","18.80","18.55","18.65","-0.0500","287"
"1434","福懋","594975","11908046","20.00","20.15","19.90","20.00","0.0000","564"
"1435","中福","6111","279847","44.30","46.40","44.30","46.40","3.2000","30"
"1436","華友聯","163474","22020105","135.50","136.50","133.50","135.00","0.0000","352"
"1437","勤益控","61007","2087279","34.45","34.45","34.15","34.20","-0.0500","59"
"1438","三地開發","133374","8798157","66.90","66.90","65.80","65.80","-1.0000","150"
"1439","雋揚","61431","1899804","31.10","31.25","30.70","30.95","0.0500","37"
"1440","南紡","868693","13578163","15.60","15.75","15.55","15.55","-0.0500","504"
"1441","大東","44933","717302","16.05","16.15","15.80","15.90","-0.2500","200"
"1442","名軒","538498","35296004","65.40","67.10","65.00","65.50","0.1000","442"
"1443","立益物流","9297","306290","33.50","33.50","32.65","32.95","0.4500","23"
"1444","力麗","577169","5296198","9.22","9.23","9.15","9.17","0.0000","328"
"1445","大宇","84554","1579378","18.50","19.00","18.40","18.45","0.0000","101"
"1446","宏和","486367","20989403","43.60","43.70","42.90","42.90","-0.2000","313"
"1447","力鵬","1077135","8769912","8.20","8.20","8.11","8.13","-0.0200","451"
"1449","佳和","1631179","28627757","17.05","18.30","17.05","17.20","0.2500","1099"
"1451","年興","73577","1468812","20.05","20.05","19.85","19.90","0.0000","80"
"1452","宏益","75527","1276696","16.95","16.95","16.80","16.85","0.0500","50"
"1453","大將","194522","3354282","17.55","17.60","17.15","17.15","-0.4000","173"
"1454","台富","37063","661568","18.10","18.10","17.70","17.85","-0.0500","43"
"1455","集盛","653604","6855141","10.55","10.60","10.40","10.45","-0.1000","483"
"1456","怡華","54729","914934","16.75","16.85","16.50","16.60","-0.1500","78"
"1457","宜進","169251","3304620","19.55","19.60","19.45","19.60","0.1000","161"
"1459","聯發","74410","747034","10.10","10.10","10.00","10.10","0.1100","65"
"1460","宏遠","239141","1713476","7.17","7.22","7.14","7.14","-0.0300","127"
"1463","強盛新","79772","1870901","23.45","23.65","23.30","23.30","-0.1000","62"
"1464","得力","1849092","29096968","16.10","16.15","15.55","15.65","-0.3500","1273"
"1465","偉全","257022","3942025","15.05","15.60","15.05","15.35","0.2500","205"
"1466","聚隆","120033","1537196","12.90","13.00","12.70","12.80","-0.1000","91"
"1467","南緯","140602","1545269","11.00","11.05","10.95","10.95","-0.0500","80"
"1468","昶和","49000","709000","14.25","14.80","14.25","14.45","0.1500","39"
"1470","大統新創","7024","144186","20.80","20.80","20.30","20.50","0.2500","8"
"1471","首利","399320","5149079","13.00","13.05","12.80","12.85","-0.2000","238"
"1472","三洋實業","19132","1148817","60.00","60.10","60.00","60.00","-0.1000","21"
"1473","台南","846235","33102562","38.90","39.50","38.80","38.90","0.0000","1191"
"1474","弘裕","243665","3501631","14.50","14.55","14.20","14.30","0.0000","185"
"1475","業旺","67589","4190594","62.70","62.70","61.50","62.00","-0.2000","153"
"1476","儒鴻","305248","169642394","553.00","558.00","552.00","558.00","5.0000","398"
"1477","聚陽","531489","194182913","364.00","367.50","362.00","366.00","4.5000","810"
"1503","士電","1547918","336185031","217.50","220.00","214.00","215.50","-1.0000","1853"
"1504","東元","5253918","262077895","49.35","50.30","49.30","49.60","0.2500","3373"
"1506","正道","311208","4359227","14.00","14.15","13.90","14.00","-0.0500","147"
"1512","瑞利","33861","244181","7.20","7.30","7.20","7.20","-0.2500","22"
"1513","中興電","4352872","712645841","165.00","165.50","162.50","163.00","-1.5000","4050"
"1514","亞力","1771178","204070982","116.50","116.50","114.00","114.50","-1.5000","2175"
"1515","力山","232936","8177937","35.40","35.60","34.90","34.90","-0.5000","196"
"1516","川飛","68797","1279423","18.70","18.80","18.45","18.55","0.1000","78"
"1517","利奇","158985","2434896","15.45","15.45","15.25","15.30","-0.0500","228"
"1519","華城","2977312","1829964911","617.00","620.00","606.00","618.00","5.0000","4123"
"1521","大億","8175","303425","37.25","37.25","37.00","37.20","0.2000","20"
"1522","堤維西","1516264","91373027","61.10","61.10","59.80","60.00","-0.7000","1188"
"1522A","堤維西甲特","1000","46000","46.00","46.00","46.00","46.00","0.0000","1"
