sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
永和,新北市,39,,良好,1,0.5,36.1,42.5,21,6,12,16.3,4.3,2.5,90,2024/11/8 09:00,0.2,7.4,15,0,121.516306,25.017,70
復興,高雄市,59,細懸浮微粒,普通,1.5,0.89,6.4,10.3,43,16,23.7,36.1,12.3,1.1,97,2024/11/8 09:00,0.4,18.8,38,2,120.312017,22.608711,71
埔里,南投縣,48,,良好,1.3,0.36,7.8,8.9,33,18,7.9,13.2,5.2,0.5,353,2024/11/8 09:00,0.2,14.9,23,1,120.967903,23.968842,72
馬祖,連江縣,41,,良好,0.8,0.15,43.6,43.4,24,9,3.2,4.2,1,2.4,338,2024/11/8 09:00,0.1,12.7,27,0,119.952724,26.153736,75
金門,金門縣,37,,良好,2.7,0.2,38.4,40.6,33,11,10.8,12.8,2,3,27,2024/11/8 09:00,0.1,10.4,26,1,118.312256,24.432133,77
馬公,澎湖縣,45,,良好,1.3,0.14,48.6,49.8,18,9,2.4,2.8,0.3,6.7,32,2024/11/8 09:00,0.1,9.2,22,0,119.566158,23.569031,78
關山,臺東縣,28,,良好,0.9,0.2,29.3,30,9,4,4.3,4.7,0.4,1.3,31,2024/11/8 09:00,0.1,3.2,11,0,121.161933,23.045083,80
麥寮,雲林縣,33,,良好,2.6,0.18,39.9,36.2,18,7,,,,5.5,2,2024/11/8 09:00,0.1,8.3,20,2,120.251825,23.753506,83
富貴角,新北市,53,懸浮微粒,普通,0.3,0.1,51.1,51.9,55,15,0.7,0.6,0,6.1,85,2024/11/8 09:00,0.1,15.2,53,0,121.5365689,25.29681695,84
大城,彰化縣,41,,良好,0.9,0.1,46.3,44.5,21,10,3,3.8,0.7,7.4,45,2024/11/8 09:00,0,9.2,21,0,120.2696417,23.85493056,85
彰化（員林）,彰化縣,24,,良好,1.8,0.28,28.2,26.1,17,3,9.7,13,3.3,1.3,5,2024/11/8 09:00,0.2,3.2,12,1,120.56373,23.96117,201
高雄（湖內）,高雄市,32,,良好,1.5,0.35,10.3,10.3,16,,19.1,23.9,4.8,0.9,317,2024/11/8 09:00,0.2,,22,1,120.24535,22.87985556,202
臺南（麻豆）,臺南市,25,,良好,0.9,0.2,25.5,22.2,21,7,10.4,12.3,1.9,2.5,4,2024/11/8 09:00,0.2,7.7,20,1,120.2458306,23.17904722,203
屏東（琉球）,屏東縣,77,細懸浮微粒,普通,2.5,0.57,14.9,17.4,55,31,21.1,26.4,5.2,1,355,2024/11/8 09:00,0.4,25.9,58,2,120.37722,22.35222,204
新北(樹林),新北市,40,,良好,1.1,0.4,21,30.2,19,7,24.3,33.4,9,0.2,159,2024/11/8 09:00,0.2,4.2,11,0,121.3835278,24.94902778,311
宜蘭（頭城）,宜蘭縣,35,,良好,0.1,0.21,33,38.6,5,2,7.5,8.3,0.7,1.4,249,2024/11/8 09:00,0.1,2.2,7,0,121.8246392,24.85366672,312
屏東(枋山),屏東縣,51,細懸浮微粒,普通,1.6,0.28,29.5,37.1,73,30,7.2,8,0.7,2.5,318,2024/11/8 09:00,0.1,15.6,43,0,120.651472,22.260899,313
