屆別,男性,女性
縣長第二屆,1,0
縣長第三屆,1,0
縣長第四屆,1,0
縣長第五屆,1,0
縣長第六屆,1,0
縣長第七屆,1,0
縣長第八屆,1,0
縣長第九屆,1,0
縣長第十屆,1,0
縣長第十一屆,1,0
縣長第十二屆,1,0
縣長第十二屆補選,0,1
縣長第十三屆,0,1
縣長第十四屆,1,0
縣長第十五屆,1,0
縣長第十六屆,1,0
市長第一屆,1,0
市長第二屆,1,0
市長第三屆,1,0
