屆別,男性,女性
桃園縣第一屆,34,1
桃園縣第二屆,33,3
桃園縣第三屆,35,4
桃園縣第四屆,39,4
桃園縣第五屆,37,4
桃園縣第六屆,36,7
桃園縣第七屆,38,6
桃園縣第八屆,42,6
桃園縣第九屆,43,7
桃園縣第十屆,45,7
桃園縣第十一屆,45,9
桃園縣第十二屆,49,7
桃園縣第十三屆,53,7
桃園縣第十四屆,46,11
桃園縣第十五屆,45,13
桃園縣第十六屆,40,19
桃園縣第十七屆,36,24
桃園市第一屆,40,20
桃園市第二屆,43,20
桃園市第三屆,41,22
