"統計期","捷運站別","進站人次","出站人次"
"111年","台電大樓",4611511,4583574
"111年","古亭",8747961,8724921
"111年","中正紀念堂",6772994,6644435
"111年","小南門",2474375,2473382
"111年","頂溪",9669748,9970820
"111年","永安市場",7020252,7221685
"111年","景安",7207300,5980318
"111年","南勢角",5816604,5637563
"111年","台大醫院",5650418,5830768
"111年","台北車站BL",15546748,13241159
"111年","台北車站R",21753648,23305791
"111年","中山R",10471235,10858525
"111年","雙連",5471135,5793308
"111年","民權西路R",3658721,3906595
"111年","圓山",7573147,7817385
"111年","劍潭",7360545,7291553
"111年","士林",7738951,7602002
"111年","芝山",6519660,6559000
"111年","明德",3506827,3425982
"111年","石牌",8117709,8300860
"111年","唭哩岸",2143065,2010734
"111年","奇岩",2513983,2213922
"111年","北投",5073439,5378345
"111年","新北投",1524505,1436713
"111年","復興崗",1068946,1066761
"111年","忠義",864645,867105
"111年","關渡",3526261,3627539
"111年","竹圍",2661753,2772366
"111年","紅樹林",3385936,3723813
"111年","淡水",9984957,9147527
"111年","頂埔",2584354,2468857
"111年","永寧",3560649,3620391
"111年","土城",2278541,2239703
"111年","海山",6209197,6311167
"111年","亞東醫院",6866701,6254212
"111年","府中",8341155,7449769
"111年","板橋",10699608,11722007
"111年","新埔",10785272,10520982
"111年","江子翠",7348284,7543483
"111年","龍山寺",7442503,7167070
"111年","西門",16949071,17092800
"111年","善導寺",5766946,5935713
"111年","忠孝新生BL",7538706,7407536
"111年","忠孝復興BL",10571528,10268905
"111年","忠孝敦化",9165462,9480615
"111年","國父紀念館",5491087,5804320
"111年","市政府",17285740,17756121
"111年","永春",5595352,5650271
"111年","後山埤",4513516,4513837
"111年","昆陽",3875911,3956506
"111年","南港",5682788,5894729
"111年","南港展覽館BL",3934486,4613875
"111年","象山",3695387,3460310
"111年","台北101/世貿",7897394,8037850
"111年","信義安和",5052374,5309755
"111年","大安R",2539312,2584188
"111年","大安森林公園",2647662,2517193
"111年","北門",3335046,3350519
"111年","中山G",2394627,2298139
"111年","松江南京G",1706558,1127756
"111年","南京復興G",6925482,7482646
"111年","台北小巨蛋",5914039,6174553
"111年","南京三民",6236067,6457326
"111年","松山",6289120,6160434
"111年","輔大",3062602,3274132
"111年","新莊",3023117,3127152
